t,S10,S11,T1
1.300000000000000044e+00,2.347589092310828438e-03,6.454124224393950355e-04,8.881507372889366203e-02
1.304999999999999938e+00,2.342776188615708528e-03,6.446324996966026899e-04,8.881622703788809303e-02
1.310000000000000053e+00,2.338079480230045252e-03,6.438710971235609998e-04,8.881724558384432311e-02
1.314999999999999947e+00,2.333496098201338128e-03,6.431277572619912425e-04,8.881813269985852632e-02
1.320000000000000062e+00,2.329023244365033361e-03,6.424020340603339057e-04,8.881889163674568100e-02
1.324999999999999956e+00,2.324658189631049424e-03,6.416934924132641728e-04,8.881952556503673601e-02
1.330000000000000071e+00,2.320398272364905361e-03,6.410017078359038067e-04,8.882003757692663592e-02
1.334999999999999964e+00,2.316240896684543683e-03,6.403262663429311980e-04,8.882043068825662413e-02
1.340000000000000080e+00,2.312183530762996261e-03,6.396667643153533013e-04,8.882070784040496658e-02
1.344999999999999973e+00,2.308223705248616323e-03,6.390228081633488998e-04,8.882087190209680960e-02
1.350000000000000089e+00,2.304359011808016552e-03,6.383940139190641709e-04,8.882092567118485271e-02
1.354999999999999982e+00,2.300587101615552115e-03,6.377800069998166427e-04,8.882087187645756887e-02
1.360000000000000098e+00,2.296905683846180764e-03,6.371804221391076271e-04,8.882071317931415633e-02
1.364999999999999991e+00,2.293312524200161618e-03,6.365949032213404774e-04,8.882045217539905058e-02
1.370000000000000107e+00,2.289805443515461995e-03,6.360231029246826576e-04,8.882009139626940997e-02
1.375000000000000000e+00,2.286382316489181214e-03,6.354646823914469238e-04,8.881963331097783576e-02
1.380000000000000115e+00,2.283041070350216948e-03,6.349193110924285753e-04,8.881908032759154581e-02
1.385000000000000009e+00,2.279779683481279393e-03,6.343866667579055275e-04,8.881843479469046787e-02
1.390000000000000124e+00,2.276596184106710434e-03,6.338664351590005954e-04,8.881769900288270791e-02
1.395000000000000018e+00,2.273488649165101173e-03,6.333583097817048349e-04,8.881687518620924593e-02
1.400000000000000133e+00,2.270455203162211662e-03,6.328619915915829029e-04,8.881596552351668505e-02
1.405000000000000027e+00,2.267494016899398654e-03,6.323771889450913912e-04,8.881497213985904693e-02
1.409999999999999920e+00,2.264603306280385184e-03,6.319036174948190147e-04,8.881389710782328084e-02
1.415000000000000036e+00,2.261781331256158389e-03,6.314409999551036769e-04,8.881274244880441038e-02
1.419999999999999929e+00,2.259026394802003072e-03,6.309890658230285455e-04,8.881151013426528962e-02
1.425000000000000044e+00,2.256336841806981606e-03,6.305475512132742086e-04,8.881020208700690644e-02
1.429999999999999938e+00,2.253711057999480474e-03,6.301161987975260849e-04,8.880882018234753650e-02
1.435000000000000053e+00,2.251147468950226958e-03,6.296947576810522093e-04,8.880736624927441925e-02
1.439999999999999947e+00,2.248644539108317179e-03,6.292829831629351755e-04,8.880584207162273147e-02
1.445000000000000062e+00,2.246200770867804765e-03,6.288806365178768818e-04,8.880424938918547728e-02
